yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12
196605,86.13 ,2.81330 ,5.42000 ,0.51274 ,0.04640 ,0.04980 ,0.05480 ,0.04730 ,0.01595 ,0.00410 ,0.00000 ,-0.00590 ,-0.00260 ,0.00194 ,-0.00042 ,-0.04914 ,-0.05465 ,0,0,0,0,0,0,0,0,0,0,0,0
196606,84.74 ,2.83000 ,5.46000 ,0.52097 ,0.04500 ,0.05070 ,0.05580 ,0.04770 ,0.01712 ,0.00380 ,0.00310 ,-0.00160 ,0.00300 ,0.00050 ,-0.00067 ,-0.01438 ,-0.01590 ,0,0,0,0,0,0,0,0,0,0,0,1
196607,83.60 ,2.85000 ,5.47670 ,0.53494 ,0.04800 ,0.05160 ,0.05680 ,0.04820 ,0.01864 ,0.00350 ,0.00309 ,-0.00370 ,-0.00980 ,0.00101 ,-0.00102 ,-0.01213 ,-0.01304 ,0,0,0,0,0,0,0,0,0,0,0,0
196608,77.10 ,2.87000 ,5.49330 ,0.57495 ,0.04960 ,0.05310 ,0.05830 ,0.04990 ,0.02147 ,0.00410 ,0.00615 ,-0.02060 ,-0.02590 ,0.00317 ,-0.00117 ,-0.07165 ,-0.07749 ,0,0,0,0,0,0,0,0,0,0,0,0
196609,76.56 ,2.89000 ,5.51000 ,0.58549 ,0.05370 ,0.05490 ,0.06090 ,0.04800 ,0.01698 ,0.00400 ,0.00000 ,0.03320 ,0.00780 ,0.00160 ,-0.00171 ,-0.00624 ,-0.00769 ,0,0,0,0,0,0,0,0,0,0,0,0
196610,80.20 ,2.88330 ,5.52330 ,0.56166 ,0.05350 ,0.05410 ,0.06100 ,0.04670 ,0.01518 ,0.00450 ,0.00612 ,0.02280 ,0.02610 ,0.00255 ,-0.00137 ,0.04833 ,0.04724 ,0,0,0,0,0,0,1,1,0,0,0,0
196611,80.45 ,2.87670 ,5.53670 ,0.57264 ,0.05320 ,0.05350 ,0.06130 ,0.04800 ,0.01755 ,0.00400 ,0.00000 ,-0.01480 ,-0.00200 ,0.00077 ,-0.00114 ,0.01122 ,0.00374 ,0,0,0,0,0,0,1,1,1,0,0,0
196612,80.33 ,2.87000 ,5.55000 ,0.57695 ,0.04960 ,0.05390 ,0.06180 ,0.04550 ,0.01721 ,0.00400 ,0.00000 ,0.04130 ,0.02010 ,0.00063 ,-0.00005 ,0.00033 ,-0.00109 ,0,0,0,0,0,0,0,1,1,0,0,0
196701,86.61 ,2.88000 ,5.51670 ,0.53336 ,0.04720 ,0.05200 ,0.05970 ,0.04480 ,0.01570 ,0.00430 ,0.00000 ,0.01540 ,0.04500 ,0.00073 ,0.00025 ,0.07922 ,0.07772 ,1,1,1,0,1,0,1,1,1,1,0,0
196702,86.78 ,2.89000 ,5.48330 ,0.54005 ,0.04560 ,0.05030 ,0.05820 ,0.04650 ,0.01770 ,0.00360 ,0.00000 ,-0.02210 ,-0.02010 ,0.00041 ,0.00056 ,0.00751 ,0.00242 ,1,1,1,1,1,1,1,1,1,1,1,0
