Month,vrp,ogap,WTI,rdsp,sii
20055,6.82,96.7925,-0.059456399,2.180345686,1.0575
20056,5.9874,97.19,0.130844873,2.268023171,1.1669
20057,5.2186,96.8981,0.047027507,2.235852749,1.035
20058,6.5591,97.2223,0.101525424,2.037675528,0.9124
20059,5.3559,95.3463,0.00923219,1.939314355,0.8807
200510,7.0583,96.4981,-0.050769934,1.813384915,0.9298
200511,6.8256,97.5646,-0.063283007,1.91524622,0.983
200512,7.1476,98.0222,0.018689986,1.766384474,0.8641
20061,6.9877,98.2044,0.102339673,2.180060874,0.6628
20062,7.2603,98.2404,-0.058940296,2.138645504,0.7138
20063,5.1758,98.4742,0.017199416,2.406484236,0.7061
20064,3.9782,98.7765,0.107672675,2.138241124,0.7484
20065,10.6306,98.7884,0.02016129,2.317958286,0.6618
20066,0.0714,99.1069,0.001552795,2.218210014,0.8001
20067,8.5007,99.0357,0.048766737,4.817052959,1.146
20068,4.0997,99.4583,-0.018411504,7.494387334,1.1195
20069,6.9885,99.2544,-0.126506024,10.24673924,1.1272
200610,5.4026,99.1514,-0.076959248,10.4320616,1.1545
200611,4.3349,99.0974,0.003226354,10.4449684,1.0197
200612,6.9593,100.1117,0.048747461,10.44988805,0.7402
20071,3.8813,99.7226,-0.120238864,10.35176473,0.6975
20072,12.8325,100.6919,0.087506879,10.24942059,0.5991
20073,0.6281,100.8857,0.019568151,10.25379797,0.7671
20074,12.0013,101.5777,0.058570483,10.3012289,1.1999
20075,7.8009,101.6481,-0.00812754,10.44062003,1.2312
20076,10.636,101.6741,0.06350457,10.37757983,1.5385
20077,28.7886,101.5627,0.098236776,7.809274191,1.7957
20078,-1.5016,101.7751,-0.023745278,5.261775773,1.9169
20079,11.9168,102.0279,0.104477612,2.653581097,1.8126
200710,11.6295,101.7289,0.073573574,2.83858889,1.2023
200711,2.8071,102.3185,0.104545455,2.77521549,0.9008
200712,18.1362,102.3074,-0.032499736,2.692215707,1.1659
20081,-24.1685,102.1686,0.013960083,2.674980223,1.0561
20082,26.232,101.7673,0.026029902,2.907885566,1.2792
20083,3.2104,101.3986,0.105461788,3.176013772,1.5077
